Timestamp,Ward,Envelope Postmarked:,Language submitted in:,1. How happy do you feel right now?,2. How satisfied are you with your life in general?,3. How satisfied are you with Somerville as a place to live?,4. How satisfied are you with your neighborhood?,5. Do you feel the City is headed in the right direction or is it on the wrong track?,6a. How would you rate the availability of information about city services?,6b. How would you rate the cost of housing?,6c. How would you rate the overall quality of public schools?,6d. How would you rate your trust in the local police?,6e. How would you rate the maintenance of streets and sidewalks?,6f. How would you rate the availability of social community events?,"7. In the past year, have you used 311 (via phone, online, etc)?","8. In the past year, did you attend a City led meeting?",9. How safe do you feel crossing a busy street in Somerville?,10. How convenient is it for you to get where you want to go? ,11. How safe do you feel walking in your neighborhood at night?,12. How satisfied are you with the appearance of parks and squares in your neighborhood?,13. How satisfied are you with the beauty or physical setting of your neighborhood?,14. How satisfied are you with the condition of your housing?,"15. In the past year, how satisfied were you with your ability to access City services?",1. What is your gender ,What is your age?,3. What language(s) do you speak at home?,4. What is your race or ethnicity?,5. Do you identify as having a disability and/or physical impairment that substantially limits one or more of your major activities?,6. Do you have children age 18 or younger who live with you?,7. Describe your housing status in Somerville.,8a. Do you plan to move away from Somerville in the next two years?,"8b. If yes, why?",9. What is your annual household income?,10. Are you a student?,11. How long have you lived in Somerville?,12. What is your primary mode of transportation? ,Any comments?
2021/07/13 1:03:13 PM EST,3,6/9/21,English,,,,,Not sure,,,,,,,"Yes, more than once",No,,,,,,,,Female,33,English,White,No,No,Rent,No,No reason to,"$50,000 to 74,999",No,6 years ,Car,"Ok, fine, very, somewhat would like T stop. Good, expensive,  OK, low, bad, good. Depends on street, Depends where, pretty safe, good, never thought about it, bit run down, no complaints. (vsp) to take bus pre covid)"
2021/07/13 1:06:30 PM EST,5,6/16/21,English,8,8,9,9,Right direction,4,3,4,4,4,4,No,No,9,8,9,9,9,8,8,Female,26,English,White,No,No,Rent,No,,"$150,000 to 200,000",No,2 years ,Walk;Public transit;Car,
2021/07/13 1:09:22 PM EST,1,6/16/21,English,4,5,5,5,Wrong track,3,1,3,1,1,3,No,"Yes, more than once",2,6,10,4,4,5,5,Male,25,English,White,No,No,Rent,No,,"$10,000 to $24,999",No,2 years,Walk;Public transit,
2021/07/13 1:16:52 PM EST,5,6/16/21,English,7,7,5,5,Not sure,3,1,3,3,2,5,"Yes, more than once","Yes, once",5,3,8,8,6,7,5,,,English,,No,No,Own,Yes,"The roads are too congested, the sidewalks are too narrow","$200,000 or more",No,20+ years,Walk,"there's a lot of people in a small area how would we manage a civic emergency, disaster, or critical service interuption? evacuation would be a nightmare. there aren't enough grocery stores in walking distance ~ its just hard to make a plan for resilliency, basically"
2021/07/13 1:21:36 PM EST,3,6/8/21,English,9,9,5,6,Not sure,3,2,3,3,3,3,"Yes, more than once","Yes, more than once",7,7,8,8,7,8,8,Female,38,English,White,No,Yes,Own,No,,"$100,000 to $149,999",No,15 years,Walk;Bike;Car,year + school closure has made me loose trust in leadership. wish libraries were open for appts. to browse.
2021/07/13 1:24:30 PM EST,7,6/8/21,English,9,6,1,5,Not sure,3,2,5,2,1,3,"Yes, once",No,3,8,5,8,8,1,4,Female,35,english,Black/African American,,Yes,Rent,No,,,No,11 years,Car,
2021/07/13 1:27:14 PM EST,3,6/16/21,English,8,8,8,8,Right direction,5,1,,3,4,5,"Yes, once",No,8,7,8,7,7,8,8,Male,41,English,White,No,Yes,Own,No,,"$150,000 to 200,000",No,8 years,Walk;Car,
2021/07/13 1:30:25 PM EST,4,5/28/21,English,3,2,6,6,Right direction,4,2,4,3,4,4,No,"Yes, once",8,5,9,8,8,8,8,Female,41,English,White,,No,Rent,No,,"$25,000 to $49,999",No,1 year,Walk;Public transit,
2021/07/14 7:48:12 AM EST,6,6/18/21,English,8,7,6,6,Not sure,4,2,4,4,3,3,No,No,7,9,8,7,6,5,9,Male,25,English,White,No,No,Rent,Yes,Career trajectory,"Less than $10,000",Yes,2 years,Walk;Bike,
2021/07/14 7:51:47 AM EST,4,6/12/21,English,7,7,4,4,Not sure,4,2,3,4,3,3,"Yes, more than once",No,5,5,3,5,6,8,8,Male,28,Eng,Asian,Yes,No,Rent,No,,"$25,000 to $49,999",Yes,,Car,
